start_tick,end_tick,key,chord
1924096.0,1943552.0,dbMinor,I+
1943552.0,1945600.0,DbMajor,VII
1945600.0,1946624.0,fMinor,I+
1946624.0,1951744.0,FMajor,I
1951744.0,1953792.0,FMajor,VII
1953792.0,1955840.0,fMinor,I+
1955840.0,1957888.0,bbMinor,II
1957888.0,1958912.0,bbMinor,I
1958912.0,1966080.0,FMajor,VII
1966080.0,1968128.0,FMajor,V
1968128.0,1970176.0,FMajor,II
1970176.0,1974272.0,FMajor,V
1974272.0,1975296.0,FMajor,I
1975296.0,1978368.0,FMajor,III
1978368.0,1979392.0,aMinor,GerVI
1979392.0,1982464.0,EMajor,bII
1982464.0,1983488.0,cMinor,IV
1983488.0,1988608.0,cMinor,GerVI
1988608.0,1990656.0,cMinor,I
1990656.0,1991680.0,cMinor,I
1991680.0,2007040.0,cMinor,V+
2007040.0,2008064.0,DbMajor,VII
2008064.0,2011136.0,CMajor,GerVI
2011136.0,2012160.0,cMinor,I
2012160.0,2014208.0,AbMajor,III
2014208.0,2015232.0,cMinor,GerVI
2015232.0,2017280.0,cMinor,I
2017280.0,2023424.0,CMajor,V
2023424.0,2024448.0,cMinor,I
2024448.0,2026496.0,cMinor,IV
2026496.0,2027520.0,cMinor,I
2027520.0,2028544.0,cMinor,IV
2028544.0,2030592.0,cMinor,DimVII
2030592.0,2031616.0,cMinor,V
2031616.0,2032640.0,cMinor,I
2032640.0,2034688.0,cMinor,IV
2034688.0,2035712.0,cMinor,I
2035712.0,2036736.0,cMinor,IV
2036736.0,2038784.0,cMinor,DimVII
2038784.0,2039808.0,cMinor,I
2039808.0,2040832.0,CMajor,I
2040832.0,2042880.0,cMinor,I
2042880.0,2043904.0,CMajor,FreVI
2043904.0,2044928.0,FMajor,V
2044928.0,2045952.0,FMajor,V
2045952.0,2046976.0,FMajor,I
2046976.0,2048000.0,FMajor,IV
2048000.0,2050048.0,FMajor,V
2050048.0,2051072.0,FMajor,I
2051072.0,2053120.0,FMajor,V
2053120.0,2056192.0,FMajor,I
2056192.0,2070528.0,bbMinor,V
2070528.0,2071552.0,bbMinor,I
2071552.0,2077696.0,BbMajor,I
2077696.0,2079744.0,FMajor,V
2079744.0,2097152.0,cMinor,V
2097152.0,2099200.0,cMinor,I
2099200.0,2100224.0,cMinor,GerVI
2100224.0,2101248.0,cMinor,I
2101248.0,2102272.0,cMinor,I
2102272.0,2104320.0,cMinor,GerVI
2104320.0,2107392.0,cMinor,I
2107392.0,2109440.0,cMinor,GerVI
2109440.0,2111488.0,cMinor,I
2111488.0,2113536.0,cMinor,GerVI
2113536.0,2114560.0,cMinor,I
2114560.0,2115584.0,cMinor,I+
2115584.0,2116608.0,cMinor,I+
2116608.0,2117632.0,cMinor,I+
2117632.0,2118656.0,cMinor,IV+
2118656.0,2119680.0,FMajor,V
2119680.0,2120704.0,FMajor,VI
2120704.0,2124800.0,cMinor,III
2124800.0,2128896.0,cMinor,V+
2128896.0,2131968.0,CMajor,I
2131968.0,2134016.0,CMajor,GerVI
2134016.0,2142208.0,CMajor,I
2142208.0,2145280.0,CMajor,V
2145280.0,2146304.0,CMajor,I
2146304.0,2148352.0,CMajor,I
2148352.0,2149376.0,CMajor,GerVI
2149376.0,2157568.0,CMajor,I
2157568.0,2161664.0,GMajor,VI
2161664.0,2164736.0,FMajor,V
2164736.0,2166784.0,FMajor,II
2166784.0,2167808.0,FMajor,V
2167808.0,2170880.0,FMajor,VI
2170880.0,2172928.0,CMajor,I
2172928.0,2174976.0,CMajor,IV
2174976.0,2176000.0,FMajor,III
2176000.0,2179072.0,fMinor,FreVI
2179072.0,2186240.0,CMajor,III
2186240.0,2188288.0,cMinor,I+
2188288.0,2189824.0,cMinor,I+
2189824.0,2191360.0,FMajor,V
2191360.0,2192384.0,FMajor,I
2192384.0,2193408.0,FMajor,V
2193408.0,2194432.0,FMajor,III
2194432.0,2197504.0,FMajor,V
2197504.0,2198528.0,FMajor,I
2198528.0,2199552.0,FMajor,V
2199552.0,2200576.0,FMajor,III
2200576.0,2207744.0,FMajor,V
2207744.0,2210816.0,cMinor,IV+
2210816.0,2219008.0,CMajor,I
2219008.0,2220032.0,FMajor,II
2220032.0,2221056.0,FMajor,I
2221056.0,2222080.0,FMajor,I
2222080.0,2224128.0,FMajor,VI
2224128.0,2225152.0,FMajor,I
2225152.0,2226176.0,FMajor,VI
2226176.0,2228224.0,FMajor,I
2228224.0,2229248.0,FMajor,V
2229248.0,2230272.0,FMajor,VII
2230272.0,2231296.0,fMinor,DimVII
2231296.0,2232320.0,FMajor,V
2232320.0,2233344.0,FMajor,VII
2233344.0,2234368.0,FMajor,VII
2234368.0,2235392.0,FMajor,V
2235392.0,2236416.0,FMajor,I
2236416.0,2237440.0,FMajor,V
2237440.0,2238464.0,FMajor,I
2238464.0,2240512.0,FMajor,VI
2240512.0,2241536.0,FMajor,V
2241536.0,2242560.0,FMajor,I
2242560.0,2244608.0,FMajor,VI
2244608.0,2245632.0,FMajor,V
2245632.0,2246656.0,FMajor,V
2246656.0,2247680.0,FMajor,I
2247680.0,2248704.0,FMajor,I
2248704.0,2249728.0,FMajor,V
2249728.0,2250752.0,FMajor,I
2250752.0,2251776.0,FMajor,V
2251776.0,2252800.0,FMajor,I
2252800.0,2253824.0,FMajor,V
2253824.0,2254848.0,FMajor,V
2254848.0,2255872.0,FMajor,I
2255872.0,2256896.0,FMajor,VI
2256896.0,2258944.0,FMajor,I
2258944.0,2260992.0,CMajor,IV
2260992.0,2262016.0,CMajor,I
2262016.0,2270208.0,DbMajor,III
2270208.0,2271232.0,DbMajor,VII
2271232.0,2272256.0,DbMajor,VII
2272256.0,2273280.0,dbMinor,bII
2273280.0,2274304.0,dbMinor,IV
2274304.0,2277376.0,bbMinor,DimVII
2277376.0,2316288.0,ebMinor,V
2316288.0,2318336.0,bbMinor,DimVII
2318336.0,2320384.0,bbMinor,I+
2320384.0,2322432.0,bbMinor,DimVII
2322432.0,2324480.0,bbMinor,I+
2324480.0,2326528.0,bbMinor,DimVII
2326528.0,2330624.0,BbMajor,I
2330624.0,2332672.0,FMajor,VII
2332672.0,2334720.0,fMinor,I
2334720.0,2336768.0,fMinor,V+
2336768.0,2338816.0,fMinor,I
2338816.0,2342912.0,fMinor,DimVII
2342912.0,2347008.0,fMinor,V+
2347008.0,2349056.0,FMajor,I
2349056.0,2351104.0,fMinor,VII
2351104.0,2353152.0,bbMinor,I+
2353152.0,2359296.0,bbMinor,I+
2359296.0,2361344.0,EbMajor,I
2361344.0,2363392.0,CMajor,III
2363392.0,2365440.0,fMinor,I+
2365440.0,2370560.0,cMinor,I
2370560.0,2378752.0,cMinor,V+
2378752.0,2385920.0,cMinor,I
2385920.0,2393088.0,cMinor,V+
2393088.0,2396160.0,cMinor,I
2396160.0,2400256.0,cMinor,V+
2400256.0,2404352.0,cMinor,I
2404352.0,2408448.0,cMinor,I
2408448.0,2413568.0,cMinor,DimVII
2413568.0,2416640.0,CMajor,VII
2416640.0,2423808.0,cMinor,I
2423808.0,2424832.0,cMinor,I
2424832.0,2425856.0,cMinor,DimVII
2425856.0,2428928.0,cMinor,DimVII
2428928.0,2429952.0,cMinor,DimVII
2429952.0,2433024.0,cMinor,DimVII
2433024.0,2434048.0,cMinor,I+
2434048.0,2439168.0,FMajor,V
2439168.0,2440192.0,FMajor,I
2440192.0,2473984.0,aMinor,II
2473984.0,2476032.0,cMinor,I
2476032.0,2478080.0,cMinor,IV
2478080.0,2479104.0,cMinor,I+
2479104.0,2482176.0,FMajor,V
2482176.0,2483200.0,FMajor,I
2483200.0,2486272.0,FMajor,IV
2486272.0,2487296.0,FMajor,V
2487296.0,2489344.0,FMajor,I
2489344.0,2490368.0,FMajor,V
2490368.0,2491392.0,FMajor,I
2491392.0,2494464.0,FMajor,IV
2494464.0,2498560.0,cMinor,GerVI
2498560.0,2502656.0,cMinor,I
2502656.0,2507776.0,CMajor,V
2507776.0,2508800.0,cMinor,I
2508800.0,2510848.0,cMinor,IV
2510848.0,2513920.0,cMinor,I+
2513920.0,2514944.0,FMajor,V
2514944.0,2515968.0,FMajor,I
2515968.0,2516992.0,FMajor,I
2516992.0,2518016.0,FMajor,IV
2518016.0,2519040.0,FMajor,I
2519040.0,2523136.0,FMajor,V
2523136.0,2524160.0,FMajor,I
2524160.0,2527232.0,FMajor,IV
2527232.0,2529280.0,cMinor,GerVI
2529280.0,2530304.0,cMinor,I
2530304.0,2531328.0,cMinor,GerVI
2531328.0,2535424.0,cMinor,I
2535424.0,2540544.0,cMinor,V+
2540544.0,2542592.0,cMinor,I
2542592.0,2543616.0,cMinor,GerVI
2543616.0,2545664.0,cMinor,I
2545664.0,2546688.0,cMinor,I
2546688.0,2551808.0,cMinor,IV
2551808.0,2553856.0,cMinor,I
2553856.0,2555904.0,cMinor,V+
2555904.0,2556928.0,cMinor,I
2556928.0,2558976.0,cMinor,I
2558976.0,2560000.0,cMinor,GerVI
2560000.0,2562048.0,cMinor,I
2562048.0,2563072.0,cMinor,I
2563072.0,2568192.0,cMinor,IV
2568192.0,2572288.0,cMinor,V+
2572288.0,2575360.0,cMinor,I
2575360.0,2576384.0,cMinor,DimVII
2576384.0,2578432.0,cMinor,I
2578432.0,2581504.0,cMinor,IV
2581504.0,2583552.0,cMinor,I
2583552.0,2584576.0,cMinor,DimVII
2584576.0,2586624.0,cMinor,I
2586624.0,2588672.0,cMinor,IV
2588672.0,2590720.0,cMinor,I
2590720.0,2591744.0,cMinor,I
2591744.0,2592768.0,cMinor,V+
2592768.0,2594816.0,cMinor,I
2594816.0,2596864.0,cMinor,GerVI
2596864.0,2597888.0,cMinor,I
2597888.0,2598912.0,cMinor,II
2598912.0,2600960.0,cMinor,I
2600960.0,2605056.0,cMinor,V+
2605056.0,2606080.0,cMinor,I
2606080.0,2608128.0,cMinor,VI
2608128.0,2609152.0,cMinor,DimVII
2609152.0,2611200.0,cMinor,I
2611200.0,2613248.0,cMinor,VI
2613248.0,2614272.0,cMinor,IV
2614272.0,2616320.0,cMinor,I
2616320.0,2617344.0,cMinor,DimVII
2617344.0,2618368.0,cMinor,I
2618368.0,2619392.0,cMinor,V+
2619392.0,2620416.0,cMinor,I
2620416.0,2621440.0,cMinor,IV
2621440.0,2625536.0,cMinor,I
2625536.0,2626560.0,CMajor,I
2626560.0,2629632.0,cMinor,V
2629632.0,2630656.0,cMinor,I
2630656.0,2631680.0,cMinor,DimVII
2631680.0,2633728.0,cMinor,I
2633728.0,2637824.0,cMinor,V+
2637824.0,2662400.0,cMinor,V+
2662400.0,2664448.0,cMinor,I
